,Unnamed: 0,User Name,Heading,Rating,Review,vector
27,27,Diptanu Paul,Just wow!,5,"This Is My Second Low Budget Mi Phone. First One Was 5A. I'm In Love With This Brand. Let's Talk About This One...Design : Awesome (Green Is Killer, Red Is Also Super.)Battery : Awesome. (2 Days Backup For Normal Users, 1 Day For Heavy Users.)Camera : Good. (Not Bad At All, It's Fine.)Display : Good. (Use Auto Brightness In Outdoor.)Heating Problem : Fine. (Still No Problem.)Sound : Awesome. (Loud And Clear.)Charging : Fine. (Takes Time To Charge 5000mah With 10w Charger As Usual. You...READ MORE",1
28,28,Jayanth Kumar,Must buy!,5,"Super phone I gifted my dad, he was very happy and it gives normal calls in 4 to 5 days in single chargeREAD MORE",1
29,29,Hariom tejra,Good quality product,4,Very nice amazing phone📱 valu for money🤑💸💵💴💶💰💳 Good battery and good displayREAD MORE,1
30,30,Jayaram Joy,Brilliant,5,"Super mobile i am full happy  ,olny on 8000 4gb ram 64 gb inbuilt 5000 mah battery super product by redmi. Thanks to miREAD MORE",1
31,31,AttoliRaju Raju,Good choice,4,camera quality is too good excellent fast delivery thank you FlipkartREAD MORE,1
32,32,Tumpa saha ,Classy product,5,"It's an awesome phone at this price with 5000mah massive battery. Also, the phone's performance is great, and the camera is also very good. If anyone want a good phone at this price then it's highly recommended.And specially I thank Flipkart for delivering so quickly  even during this lockdown in the orange zone.READ MORE",1
33,33,Shikhar  Srivastava,Great product,5,"phone is very good and in camera the potrait mode is nice but the only that is,not  so impressive is the performance it hangs manier times.all other than this its a worth it choice...READ MORE",1
34,34,Sravan Prabhath,Delightful,4,super product💪good designgood displaybattery is okbut camera is too bad👎low clarity and when the portait mode opens camera got lagged😶please solve it on next update🙏storage only 51 gb availablesolve these problemsotherwise it is agood and superior productREAD MORE,1
35,35,SANDIP DAS,Awesome,5,"Redmi 8 is a choice upgrade to its predecessor. Sporting a massive 5000mAh battery, you can work and play uninterrupted. This smartphone also comes with 18W Fast Charge support, so you are charged and ready to go in no time. The all-new Aura Mirror design is sure to impress anyone with a whole new range of colours including – Ruby Red, Onyx Black and Sapphire Blue. The phone is also protected by Corning® Gorilla® Glass 5 to protect from drops and falls.Make this phone realy Great👌• Powere...READ MORE",1
36,36,Nakka Bharath Kumar Goud,Must buy!,5,Display could have been better because in normal view some of the content is missing some time directly it is showing in full view not in normal view in YouTube only. And Even Processor could have been better too. Apart from that everything is perfect. Value for money phone. Loved it !READ MORE,1
37,37,Sheikh Abdun Nur,Wonderful,4,"Pros : * Big Battery * Fast Charging * Great Value for Money  *Impressive Aura mirror design.                                                       Cons: * Decent Camera *Weak Processor                                     Finally I would Conclude that if you want to play high graphics games and take good photographs this is not good choice,  But if want a big battery with a beautiful design supported with fast charging also equipped  with fingerprint scanner in this price range ,then its a go...READ MORE",1
38,38,Varun Kedia,Great product,5,"Pros :1. Because of SD439, it does not consume a lot of battery and does the battery life of 5000mah is a lot. I do a lot of social media and the battery lasts for 2 days.2. The Phone is very good for someone who does not play games specially pubg because pubg does not run well on this device.3. Screen brightness is very good and type c port in this price is also good. 4. Speakers are very good.5. Only budget phone available in stock during lockdown. Cons :1. SD 439 is a bit outdated ...READ MORE",1
39,39,Daniyal Shoaib,Terrific purchase,5,"Awesome phone in this price , value for money , i give 4 starts for display just comparing to Samsung,  but if I look at this phone with this price then this is amazing , battery is good , and design is awesome awesome.... buy it ..READ MORE",1
40,40,Veerabhadra Revanna,Delightful,4,worth for money good mobile but camera is not much it's have 5000mAH But it's not working like that is working like 4500 mAhworth for moneyREAD MORE,1
41,41,Tharak P,Terrific purchase,5,super and wonderful .. value for money and good quality .....  i am very happy with productREAD MORE,1
42,42,Shouvik  Das,Terrific,5,"It is absolutely value for money,The display is good enough for movies and casual social videos. It isn't especially vivid, but is bright enough to be used just fine even under direct sunlight. Widevine DRM is restricted to L3 so you'll be streaming videos at lower-than-HD quality, but you might not even notice. The speaker is surprisingly crisp and loud.Worth IT!Just Go Ahead and buy......!READ MORE",1
43,43,Mithu Pathak,Worth the money,4,Battery backup nice front camera not good but back camera very good nice phone value of moneyREAD MORE,1
44,44,Atindra Malik,Nice product,4,Nice product... Verry smooth tuch screen... Cemara quality is beautiful. Battery backup is verry good and fast 🔋⚡charging.READ MORE,1
45,45,Kukil  Sarmah,Really Nice,4,It's really a nice phone with a good camera quality... backside design is also amazing with a beautiful shining...READ MORE,1
46,46,MOHD HAQ,Awesome,5,mobile is good display good battery good camera good I am happyREAD MORE,1
47,47,Ràhúl Shàrmà,Brilliant,5,very nice phone good performance and nice camera and all feature niceREAD MORE,1
48,48,Shubham  Waghole,Worth every penny,5,Awesome color of mobile..@ great price well done mi & delivery also fast as well nice design nd look ## camera at this price is okREAD MORE,1
49,49,Aman,Fabulous!,5,"My honest opinion would that you cannot get anything better than this in this price range. The back camera and battery performance is totally awesome, screen quality is decent considering the price point and as you all know the design is so beautiful that it totally takes the points away from its competitors. I definitely give a thumbs up to xiaomi for such great product..... Thanks xiaomiREAD MORE",1
50,50,Shiva Dhawan,Terrific purchase,5,great product i love this productcamera quality is great pics look like DSLR camera PicREAD MORE,1
51,51,Mohamed Faizel,Best in the market!,5,"considering the price point 64 GB ROM and 4GB Ram with dedicated memory slot it's fabulous. what I like most: 1. Mobile screen, it's a 6.2 hd+ with 269 PPI, no issues looking excellent no pixelation found.2. Battery performance - Excellent3. Front Gorilla Glass protection - superb4. camera - good, not expecting more with this price segment.5. MIUI 11 - new vibrant colours on icons looks stylish.etc...nothing to complain.. some reviewers mentioned that Snapdragon 439 processor is not a...READ MORE",1
52,52,Bikash  Debbarma ,Best in the market!,5,"Very good smartphone, value for money, i am very satisfied with this smartphone. Xiaomi (Redmi) is the best smartphone in India. I love Redmi mobile, thank you so much Flipkart &  specially thanks to the seller flashter Ecommerce for giving me a genuine assured products.READ MORE",1
53,53,Flipkart Customer,Fabulous!,5,I am purchase this mobile for my dad. Absolutely perfect for him. No comments about mobile. Best thing i ever seen in this mobile is speaker voice. Soft music is really makes you feel happy.... Overall good product.READ MORE,1
54,54,ravishankar kumar,Delightful,4,redmi 8 is best mobile best mobile battery is better camera is best performance is great and display in the fabulous and designed is superduper hit and price 1000 high firfi koi bat nahi thank you flipkard card##(special thank you filpkard)##READ MORE,1
55,55,rajesh bonangi,Simply awesome,5,Camera is superb 👌 for photography 🙌I really loved it its too handsome please in performance  and it's cool and it gives a long battery backup up 😎READ MORE,1
56,56,Vipin Verma,Best in the market!,5,Good Smart Phone In Thish Price . Camera Quality Is Best & Battry runing 2 days. Over All  best smart phone. Look Is Very Nice & Build Quality.READ MORE,1
57,57,Sivaraman Hariharan,FlipKart can close return window I am not going to return it,5,"FlipKart can close my return window now itself. I am not going to return this phone at all.At last a budget phone with massive 5000 mAh battery and superb camera.BTW, If you want a good smartphone in this price segment I will highly recommend this phone. Go for it blindly.I ordered on Nov 29th 2019 Friday, & FLIPKART got it delivered on December 01st 2019.(colour- Ruby RED, Variant- 4 GB Ram & 64 GB RoM)Now let me start about with the pros & cons about the new ""Redmi 8"" ---Pros :)...READ MORE",1
58,58,NARESH  MAHTO,Premium Design Budget Phone,4,"Display is not Full HD (It's HD+)Camera is Good in this budget.Processor may be more powerful, but not bad.Battery is 5000mAh which is great.It supports 18W charging, but you get 10W adapter in the box.Type -C is also good.Overall it's a good phone.READ MORE",1
59,59,Amiya Kumar Bhal,Must buy!,5,"I dont know why some people giving less stars,Let me give my review after using since 15 days.Giving my review as below. 1.Finger print and face unlock is super fast.2. Touch is smooth.3. IPS Display which is HDR Enabled is upto the mark.4. Beautiful colours available i am using Gamma Green.5. Feel and Look is just awesome.6. Notch Display.7. Ram and internal Memory.8. Processor is super fast.9. All Camera working perfectly, i love macro camera.10. Beast for Gaming.11. Build qu...READ MORE",1
60,60,Lohith Raj Jagalur,Best in the market!,5,"very nice phone, but camera is not what i expected. rest of it device is awesome. long-lasting battery gets charged within 35 minutes with c-type charger. now its upgraded to miui 11 version. many settings have been updated. very nice mobile with high config on less budget. nice product, thank youREAD MORE",1
61,61,Dhinesh Kumar,Wonderful,5,I have ordered a good product through Flipkart. it's wonderful product and valuable for money.delivery was wonderful because they have delivered before expected on time.READ MORE,1
62,62,Safeeque Ahmed,Perfect product!,5,"Trendy and Most Wanted Mobile in OCT 2019.why do we waste money excessive 2kto 3k for better camera and processors for other than Redmi 8?  yes of course we have good battery, display, sufficient camera and processors to perform our daily task in redmi 8 which is awesome mobile... unbeatable with redmi note 8. both are same. after using a month I am providing this review. You can go blindly with Redmi 8 and damn sure it will satisfy your expectations... by Shafeeq, ChennaiREAD MORE",1
63,63,Sandesh  Abhyankar,Nice,3,Awesome Phone At This Price Range But For Heavy Gaming Go For Redmi Note 7 S Or Realme 5 *This Mobile Has Some Features 1) 4+64 At This Price This Is Only For First 5 Millions Customers2) Wireless FM Radio 3) 5000 Mah Battery With 18 W Fast Charging I Charged My Mobile In 2 Hours 4) Type C Port 5) With The Mi mobiles You Can connect Your Mi TV Which Include IR Blaster In the mobile * *********Overall Rating 4.5 ********👍💓READ MORE,0
64,64,Athul Dev,Awesome,5,Excellent phone  good to use good for gaming good for priceREAD MORE,1
65,65,Mayank kumar singh,Just wow!,5,nice phone camera awesome battery awesome nice color green phone delivered in two dayREAD MORE,1
66,66,Vishal Kumar ,Wonderful,5,nice Mobil Best of luck finding people nice image cameraREAD MORE,1
67,67,Logesh Logesh,Perfect product!,5,"value for money pakka product , excellent battery,nice design super phone compare to infinix hot 8  thanks to mi for this wonderful mobile phoneREAD MORE",1
68,68,SHEKHAR RAJPOOT,Terrific,5,Great Budget Phone...• Good Camera• Excellent Battery Backup with Type C• Nice Screen• Space Good 4Gb 64Gb• Excellent DesignREAD MORE,1
69,69,SHYAM SHANKAR,Super!,5,Very good Mobile and nice smooth display long bettery nice mobileREAD MORE,1
70,70,ABDUR RAHMAN,Terrific,5,"first of all thanks to Flipkart for awesome fast delivery in just 3 days . phone is awesome display, build quality is good but it is little bulky phone and also thickness is little more compare to other brands product which is similar to this range but also redmi provide USB C type charge and also 5000 may big battery . go for it friendsREAD MORE",1
71,71,Amit Maurya,Good quality product,4,"Purchase on first sale and got delivered in 2 days at Mirzapur (U.P.). Flipkart service was very good.I am big fan of MI phone and using from last 5 year. My expectations was very high from Redmi 8 series phone, so that purchased both Redmi 8A & Redmi 8.1- Weight of this phone is heavier than any other other MI phone and u will not feel comfortable on first time.2- Display have gorilla glass 5 but screen brightness is very dull.3- Battery life is fantastic.4- Speed of phone is not good a...READ MORE",1
72,72,Bala Chandran ,Does the job,3,really value of money super mobile I am purchased black awesome look fingerprint very fast nive mobile camera normal battery very long life totally 4.5 my rating & very very fast delivery thank you flipkart but not working back dual camera only working in single Camara one Camara wasteREAD MORE,0
73,73,Jiten Tandel,Awesome,5,Amazing phone. Super design. I bought it for my friend and he is so happy to have it.READ MORE,1
74,74,Flipkart Customer,Excellent,5,"The best product , awesome mobiles and also best battery settings. awesome brightness . a big phone , value for money . I really really love it .READ MORE",1
75,75,Aashish  Kumar,Very Good,4,"The best product in this price range with huge space and powerful battery backup. Camera pixels are not too high but fair with this handy price. Except camera all features all highly recommendable just go for it, don't think too much.READ MORE",1
76,76,Vijay Kumar,Worth the money,4,"The phone is quite good, it cannot get a good phone at such a low price. Battery backup is very good, display quality is not as good. The camera is also fine according to the amount, overall best phone in this price range.....READ MORE",1
77,77,Subham Mohan,Must buy!,5,"Best smartphone in this range...I have used this phone more than 7 month, and not seems any issueCamera is awesome battery backup is too gooddisplay is goodperformance is awesomeREAD MORE",1
78,78,ANSARI AAKIF,Great product,5,I am purchase this mobile for my dad. Absolutely perfect for him. No comments about mobile. Best thing i ever seen in this mobile is speaker voice. Soft music is really makes you feel happy.... Overall good product.is Very best resmi 8 mobileREAD MORE,1
79,79,Mithul Singh,Delightful,4,"Better for gaming.. . Coz I trust on Redmi. But Something are not good in this Phone.. . Camera is lagging more than Redmi 5A (my old smartphone) Screen Quality is not better than Redmi5A (as compare) (Not talking about Notch) Video performance is not good in this phone, Even Screen  is big. . .READ MORE",1
80,80,Gunjan kumar,Fabulous!,5,Its been 7 months to use this phone and this is amazing product in 8000 It has no any issues yet Speaker volume is so loud and camera is also vary good it support farst charging too battery backup is also very nice all about this product is very nice in this price rangeREAD MORE,1
81,81,Flipkart Customer,Mind-blowing purchase,5,Im using this phone since 3 and half months still this is performing well battery backup is awesome Redmi is sending update at regular intervals Portrait mode is awesome iam playing Free fire with no problems at this price this phone is bestREAD MORE,1
82,82,kharthik raj,Best in the market!,5,Its worth it. Its rear camera is best for normal use. Selfie camera is not that good. Its good till now. I brought it two months ago and it has no compromise with speed.READ MORE,1
83,83,Vighnesh  More,Best in the market!,5,Very nicely delivered earlier from the date of delivery..Happy with your safe packagingNice product..I'm happy with this budget friendly price and with this awesome redmi 8.. 😊Thank you so much team flipkart.. ❤️READ MORE,1
84,84,Raju Kumar,Fabulous!,5,"perfect work for normal use, Pubgi not perfect work in this phone, you càn buy only for normal daily use.READ MORE",1
85,85,Rakesh  Frandiya,Must buy!,5,The phone is great but the camera is not good enough to get coolREAD MORE,1
86,86,Neelima Saxena,Excellent,5,Owsm phn green colour is very decent work smoothly all programme is working gud choice use first time Mi phn my experience is soo gud nd thnkqww Flipkart 2 days delivery value of money thank you redmiREAD MORE,1
87,87,Akarsh Bajpai,Worth every penny,5,Very good phone in just 7999 with 4gb Ram 64gb external storage and Snapdragon 435 processor camera quality is very good normally photo size is approx 2mb to 4mb. I'm Fully satisfied with this phone. My order is just delivered in 24 hours that's great work by FlipkartREAD MORE,1
88,88,Flipkart Customer,Super!,5,verry nice performance and good working..I like this redmi 8 ...this price awesome redmi 8READ MORE,1
89,89,Pradeep S Bharti,Pretty good,4,"Not best but good in that budget. Battery is very good but camera is can be better. For me camera is not good. Good looking mobile, performance is likely good....READ MORE",1
90,90,suvo Eakbal,Must buy!,5,dispay and camera quality is not better . Battery performance is good . Phone run performance is not better . after then the value of money is so less . so this price under the mobile best . Your Value of money is same then I request you buying for the phone..READ MORE,1
91,91,Peeyush Oza,Simply awesome,5,Awesome phone in this price with looonnnggg battery best movie view great look Rich RED............. faster performanceREAD MORE,1
92,92,Anil kumar  Nag ,Excellent,5,affordable and good quality products.. battery show 5000mah but it works like 4000mah .... overall it's one of the best mobile in 8000 price ..READ MORE,1
93,93,Parkash Pandey,Good choice,4,Best Budget Phone of the Year Review after 5 Days Uses.First time user of Redmi .1. Best Front Camera specially with portrait mode and Day Lighting..it's seems like 16 MP Camera..2. Best thing in this phone is touch paid and screen resolution3. Touch pas also working very fast.4. Color Ruby Red is very eye-catching with transparent glass.4. Battery is Superb 5/55.Issue with camera in low light ..6. Anyways in this price segments Redmi is providing the service and features like 14k...READ MORE,1
94,94,K BALAKRISHNAN ,Best in the market!,5,"Very good quality I am throughly satisfied.Battery and charger was awesome.No heat felt when charging and gaming. Camera Quality was good but not awesome, for this price range it was OK. In normal usage Battery working for 3 Days.over all I am give 5 out of 5.I am not a great user of games but using Internet for 4 hours daily, no heating problem.No Tempered glass with the package It would have been better if the company send it along with the phone it merely cost 100 rupees. Otherwise phone Q...READ MORE",1
95,95,Manas Ranjan Bhakta,Just wow!,5,"Mi Best phone low budget in this year 🌍 ,Camara quality top front🌹 and  looking nice. l 💓 Mi . Always Happy 🚫READ MORE",1
96,96,Hardik Kargathara,Wonderful,5,"Great Redmi 8 ... Bettery master , camera champion , best one.READ MORE",1
97,97,NilanJan Sil,Worth every penny,5,superb battery life. the face unlock and the fingerprint unlock works super fast. power packed with 4gb ram and 64gb rom with a launch price of 7999 is worth the money. The mobile looks very premium and the case cover has a Designed by Xiaomi Logo on the lower side. super fast delivery by Flipkart. Received in 16 hrs from order.READ MORE,1
98,98,Sujay Hadadare,Worth the money,4,Overall good product.camera is good ...edge detection is very well improved than redmi 7.4 gb ram allows you to ...enjoy more app at a time..in this price range ... specifications we have got are very satisfactory. look..is awesome.. redmi changed the location of the camera...it looks like Nokia Mobiles.5000mAh battery with fast charging support ..in this Price range.. just wow... factor..Overall in this price range... it is best mobile.. highly recommended...😇READ MORE,1
99,99,prashant shettar,Best in the market!,5,"5 on 5 for Flipkart,12 hours free delivery. I have been mi user since more than 3 years now, this product looks for the price specified. Camera, front-awesome rear-average. Operating speed-average, battery-gives solid backup, charges very slow- took more than 2 hours to charge from 48% to 100. Overall would say good product for this price range.READ MORE",1
100,100,Farhan Younis,Highly recommended,5,Just awesome mobile..... Everything is fine i am giving this mobile 5 star rating..... Highly recommended to all of you who wants to purchase a mid range phone....READ MORE,1
101,101,Srikanth Cva,Worst experience ever!,5,I have been using this phone for the past 5months..The phone is a perfect choice... But as soon as the climate changed to summer... The phone cannot even handle any tasks properly... Let me explain.. If you play ludo - a less graphic demanding game.. The phone gets hot and the climate is also hot (indoors-with the fan on) heat is not the issue.. But the network cuts off... Both the sim will be off... Then you have to restart the phone and literally cool it with a cool cloth... Otherwise ev...READ MORE,1
102,102,Prasenjit Mrisha,Absolute rubbish!,5,"First of all I have received a made in China version of Redmi 8 which I did not at all expect at this tumultuous moment, that to be from my favourite shopping platform- Flipkart. I raised complaint against this.. But haven't received any response from team Flipkart which is once again disastrous. Now coming to the product.Pros:1. Battery: Good gesture from Xiaomi to provide a heavy battery at this price range.2. Type C port and 18 W fast charging support can be a deal maker.3. MIUI is a ...READ MORE",1
103,103,DIBYENDU GHOSH,Highly recommended,5,"In this price range-1. Camera is very good. 2. Display is very good.3. Battery is also awesome. give you one and half  days charge for normal use. 4. Processor is lil bit old but works smooth.5. Other features like Google lense, face and fingure tip unlok works very first. Over all a very good purchase.READ MORE",1
104,104,Francis Komalla,Terrific purchase,5,I am Using Mobile from 1 MonthI will explain my Journey with Redmi 8First Of All The Mobile Is very Good Perfomer At That PriceAnd No Mobiles Are Not Available at This TimeCamera Was Good Performance Is very good at this PrizeU will really AmazedBattery was fantastic really losts for 1.5 to 2 daysOverall Very Good Mobile Blindly Go for it Dear FriendsU Will Don't be DisappointedAnd Also Thank U FlipkartI Also Giving Some Camera Samples Have a lookHope This Review Is Helpfu...READ MORE,1
105,105,Flipkart Customer,Fabulous!,4,good mobile budget phone but only problm is in camara quality overall it's good I recommend to buybattery is wonderful 12 hours continues work is possible it's very good in this budgetREAD MORE,1
106,106,Baliram  Shedge ,Simply awesome,5,Superb phone.. Great performanceLow prices.. Big budjet phoneI m hpy with disI suggest to everyone.. Pls go nd buy himOne of the best phone in low pricesI give.. 5 0f 5 starREAD MORE,1
107,107,Luv Singh,Worth the money,5,It is a great mobile at 8000 more specification battery is awesome it is a 4 GB ram in our it is t best mobile for meREAD MORE,1
108,108,Sadia Aabshar,Brilliant,1,This is the best phone i ever used❤❤❤❤❤selfie camera is good but the back camera is awsome blossom❤❤❤ display is also very good and the bettery is super duper excellent ❤❤❤❤❤ i love it....thank you flip cart❤❤❤READ MORE,0
109,109,Dinesh  soni,Must buy!,1,Redmi 8 good phone camera performance good colours brilliant colour fingerprints good this is best mobileREAD MORE,0
110,110,Flipkart Customer,Classy product,5,I am very impressed for this device this is value for money 8000 range this is a good phone for a normal use thank you MI for a low budget phone for all of peopleREAD MORE,1
111,111,Pabbathi Venkateswarlu,Brilliant,5,"It’s look like very nice and colour also very nice , I never seen like this model and price .READ MORE",1
112,112,Swapnil Chitnis,Value-for-money,4,"Best phone from mi in this price range. This is my first mi phone. Previously I have Motorola and Asus. In comparison to these I think it is a good mobile. I have used it for 5 days and posting this review.Positive pointsNo heating issues yetGood camera both front and backNice displayGood touch pad like MotorolaLight weightSound quality is goodNegative pointsBattery drains fast, around 24hrs with very light use. Asus is better in this regards.No earphonesUSB cable not compatible....READ MORE",1
113,113,Pradeep naik,Fabulous!,5,nice mobile and best value for the money nice battery storage upto 5000mh battery and good processor but the camera is to bad and there is a fast charging capacityeven you can play freefire pubg cod and any type of games you can use 2-4g Jio Sims together in this mobile and you Can have a memory card alsoREAD MORE,1
114,114,Amarjeet  Singh,Brilliant,5,In this price range you won't get better than this now. Mi is now a special brand. One thing more smartphones of mi are way more durable than you all think.I have been using this brand since 2014 and all the way from that time they are keep making worth products. If you want a budget smartphone with great storage capacity then this is for you. The only demerit of this device is it's processor but if you are not a gaming geek then you will not face a single issue. Every other feature is cool u...READ MORE,1
115,115,Saraswati  Tarafdar,Worth every penny,5,I have gifted this phone to my mom.. The phone is good in this price range... Camera is average.. Battery is very good and long lasting...READ MORE,1
116,116,Himanshu  Agnihotri,Wonderful,5,"ALLOVER MOBILE IS VALUE FOR MONEY ,BUT CAMERA GOOD IN THIS BUDGET / IT'S A BUDGET MOBILE /BATTERY IS 5000MAH WHICH IS ONE OF THE BEST IN THIS PHONE /PROCESSOR IS ALSO GOOD IN THIS RANGE/ CAMERA IS NOT SO GOOD TO TAKE  PHOTOS AS COMPARED TO OTHER MOBILES UNDER THIS RANGE....YOU CAN BUY ,BEST PHONE IN THIS RANGE.READ MORE",1
117,117,Riyaz Ahmed,Brilliant,5,Redmi8 worth for money  perfect back camera  battery is perfect really happy  compact and weight less  10 days  delivery time before I got delivery thanks for Flipkart I am really happy happy happy thanks Flipkart delivery tracking facility is really nice and I am really happy to get the product from Flipkart thanksREAD MORE,1
118,118,Sourabh Saha,Nice product,4,"A good deal in 9kHardware- DecentDisplay-goodcamera-good in bright light, protrait does its job.performane- decent, SD 439 is well decent, pubg and cod can be played with ease in low to mid graphics.Battery- Totally satisfiedLooks- smart and classySound- Loud and sharpREAD MORE",1
119,119,Zuby  Khan,Good choice,4,Camera is not upto expectations...as redmi phones are popular for best camera quality....hope it improves with updation...screen resolution is good... battery lasts for 2 days in normal usage😌my mumma loves it...I gifted her on mother's day...❤️READ MORE,1
120,120,Sarwar  Alam ,Classy product,5,the camera is very best but the listening small speaker is not good suppose if you call any person the person he is listening your voice the voice is not coming clear but all are goodREAD MORE,1
121,121,Raj  Kumar,Mind-blowing purchase,5,nice product and camera is so beautiful i am happy thank you flipkart...READ MORE,1
